fighter,event_date,opp_elo_mean,opp_elo_mean_wins,opp_elo_mean_losses,wins_vs_top,losses_vs_top,losses_vs_bottom,bad_loss_ratio
Al Iaquinta,2012-06-01,,,,0,0,0,0.0
Al Iaquinta,2013-08-31,1500.0,,1500.0,0,0,0,0.0
Al Iaquinta,2013-10-26,1500.0,1500.0,1500.0,0,0,0,0.0
Al Iaquinta,2014-02-01,1500.0,1500.0,1500.0,0,0,0,0.0
Al Iaquinta,2014-05-24,1500.0,1500.0,1500.0,0,0,0,0.0
Al Iaquinta,2014-09-05,1494.0608915969901,1500.0,1485.152228992475,0,0,1,0.3333333333333333
Al Iaquinta,2014-11-07,1500.0477004346042,1507.4954361556688,1485.152228992475,0,0,1,0.3333333333333333
Al Iaquinta,2015-01-31,1502.2298789685678,1509.060938959005,1485.152228992475,0,0,1,0.3333333333333333
Al Iaquinta,2015-04-04,1503.4227565639196,1509.5129324210677,1485.152228992475,0,0,1,0.3333333333333333
Al Iaquinta,2017-04-22,1508.11415421017,1514.6747042723687,1485.152228992475,0,0,1,0.3333333333333333
Al Iaquinta,2018-04-07,1506.759335510191,1512.16111213962,1485.152228992475,0,0,1,0.3333333333333333
Al Iaquinta,2018-12-15,1512.7864145514393,1512.16111213962,1514.4538876496242,0,0,1,0.25
Al Iaquinta,2019-05-04,1517.1836604880264,1518.0935847674941,1514.4538876496242,0,0,1,0.25
Al Iaquinta,2019-10-05,1524.5938341808992,1518.0935847674941,1539.2193953610617,0,1,1,0.2
Al Iaquinta,2021-11-06,1525.7806676313323,1518.0935847674941,1539.6174167862418,0,1,1,0.16666666666666666
Alan Baudot,2020-10-10,,,,0,0,0,0.0
Alan Baudot,2021-07-17,1500.0,,1500.0,0,0,0,0.0
Alan Baudot,2022-02-19,1509.4579857497115,,1500.0,0,0,0,0.0
Alan Baudot,2022-06-25,1505.3382689035045,,1498.5494176055454,0,0,0,0.0
Alan Belcher,2006-08-26,,,,0,0,0,0.0
Alan Belcher,2006-12-13,1500.0,,1500.0,0,0,0,0.0
Alan Belcher,2007-04-07,1500.0,1500.0,1500.0,0,0,0,0.0
Alan Belcher,2007-05-26,1500.0,1500.0,1500.0,0,0,0,0.0
Alan Belcher,2007-10-20,1500.0,1500.0,1500.0,0,0,0,0.0
Alan Belcher,2008-04-19,1500.0,1500.0,1500.0,0,0,0,0.0
Alan Belcher,2008-09-17,1500.0,1500.0,1500.0,0,0,0,0.0
Alan Belcher,2009-01-17,1500.0,1500.0,1500.0,0,0,0,0.0
Alan Belcher,2009-07-11,1500.0,1500.0,1500.0,0,0,0,0.0
Alan Belcher,2009-12-12,1500.0,1500.0,1500.0,0,0,0,0.0
Alan Belcher,2010-05-08,1500.0,1500.0,1500.0,0,0,0,0.0
Alan Belcher,2011-09-17,1500.0,1500.0,1500.0,0,0,0,0.0
Alan Belcher,2012-05-05,1498.4720456613952,1497.7080684920932,1500.0,0,0,0,0.0
Alan Belcher,2012-12-29,1500.9075027433564,1501.3108372959598,1500.0,0,0,0,0.0
Alan Belcher,2013-04-27,1501.986236406677,1501.3108372959598,1503.2019548059693,0,0,0,0.0
Alan Jouban,2014-08-16,,,,0,0,0,0.0
Alan Jouban,2014-11-08,1529.5399878376859,1529.5399878376859,,0,0,0,0.0
Alan Jouban,2015-02-28,1514.7699939188428,1529.5399878376859,1500.0,0,0,0,0.0
Alan Jouban,2015-07-15,1515.1799959458951,1522.7699939188428,1500.0,0,0,0,0.0
Alan Jouban,2015-10-03,1506.8362842460313,1509.115045661375,1500.0,0,0,0,0.0
Alan Jouban,2016-03-19,1509.3238242217274,1509.115045661375,1509.636992062256,0,0,0,0.0
Alan Jouban,2016-07-07,1505.2075174276395,1502.9927801103313,1509.636992062256,0,0,0,0.0
Alan Jouban,2016-12-17,1504.463586366548,1502.394224088265,1509.636992062256,0,0,0,0.0
Alan Jouban,2017-03-18,1506.3281658130672,1505.2252237300045,1509.636992062256,0,0,0,0.0
Alan Jouban,2017-08-05,1511.501540025291,1505.2252237300045,1524.0541726158642,0,0,0,0.0
Alan Jouban,2018-02-24,1512.2760322973263,1505.2252237300045,1522.8522451483095,0,0,0,0.0
Alan Jouban,2019-04-13,1513.4293022386853,1508.0447634331856,1522.8522451483095,0,0,0,0.0
Alan Jouban,2020-11-21,1511.1837072369892,1508.0447634331856,1515.5782285623143,0,0,0,0.0
Alan Omer,2014-04-11,,,,0,0,0,0.0
Alan Omer,2015-06-20,1500.0,,1500.0,0,0,0,0.0
Alan Patrick,2013-10-09,,,,0,0,0,0.0
Alan Patrick,2014-02-01,1500.0,1500.0,,0,0,0,0.0
Alan Patrick,2015-06-20,1512.179084374602,1512.179084374602,,0,0,0,0.0
Alan Patrick,2016-03-19,1513.4515370964803,1512.179084374602,1515.996442540237,0,0,0,0.0
Alan Patrick,2016-09-24,1510.0886528223602,1508.1193895830681,1515.996442540237,0,0,0,0.0
Alan Patrick,2018-02-03,1514.624394874961,1514.2813829586419,1515.996442540237,0,0,0,0.0
Alan Patrick,2018-10-06,1509.7239545586406,1508.4694569623211,1515.996442540237,0,0,0,0.0
Alan Patrick,2020-09-12,1510.2340653247409,1508.4694569623211,1514.6455862307898,0,0,0,0.0
Alan Patrick,2021-06-05,1511.4457063568682,1508.4694569623211,1516.4061220144467,0,0,0,0.0
Alan Patrick,2022-05-14,1510.173961206105,1508.4694569623211,1516.4061220144467,0,0,0,0.0
Alatengheili,2019-08-31,,,,0,0,0,0.0
Alatengheili,2019-12-21,1500.0,1500.0,,0,0,0,0.0
Alatengheili,2020-10-03,1494.3619705693968,1494.3619705693968,,0,0,0,0.0
Alatengheili,2021-09-18,1502.401152886231,1494.3619705693968,1518.4795175199,0,0,0,0.0
Alatengheili,2022-04-16,1502.6721451183334,1494.3619705693968,1518.4795175199,0,0,0,0.0
Alatengheili,2022-09-10,1499.6573332462656,1492.1073422989293,1518.4795175199,0,0,0,0.0
Alatengheili,2023-10-14,1499.714444371888,1494.080506724197,1518.4795175199,0,0,0,0.0
Alatengheili,2024-05-18,1508.048793024735,1494.080506724197,1538.2672012308587,0,0,0,0.0
Alatengheili,2025-04-26,1507.4737742462892,1495.954133938791,1538.2672012308587,0,0,0,0.0
Albert Cheng,2014-03-01,,,,0,0,0,0.0
Albert Duraev,2021-10-30,,,,0,0,0,0.0
Albert Duraev,2022-06-18,1500.0,1500.0,,0,0,0,0.0
Albert Duraev,2023-03-25,1506.8722864759266,1500.0,1513.744572951853,0,0,0,0.0
Albert Duraev,2023-07-15,1515.839365655873,1516.8867620078831,1513.744572951853,0,0,0,0.0
Albert Morales,2016-09-17,,,,0,0,0,0.0
Albert Morales,2016-11-19,1510.4454307649207,,,0,0,0,0.0
Albert Morales,2017-03-04,1534.3449533398339,,1558.244475914747,0,0,0,0.0
Albert Morales,2017-07-16,1522.8966355598893,1500.0,1558.244475914747,0,0,0,0.0
Albert Morales,2017-12-09,1517.172476669917,1500.0,1529.1222379573735,0,0,0,0.0
Albert Morales,2018-02-24,1513.7379813359335,1500.0,1519.414825304916,0,0,0,0.0
Albert Tumenov,2014-02-15,,,,0,0,0,0.0
Albert Tumenov,2014-05-10,1533.1508077300336,,1533.1508077300336,0,0,0,0.0
Albert Tumenov,2014-10-04,1516.5754038650168,1500.0,1533.1508077300336,0,0,0,0.0
Albert Tumenov,2015-01-24,1511.0502692433445,1500.0,1533.1508077300336,0,0,0,0.0
Albert Tumenov,2015-10-03,1513.3160308566842,1506.704438565568,1533.1508077300336,0,0,0,0.0
Albert Tumenov,2016-01-02,1514.7185688467464,1510.1105091259246,1533.1508077300336,0,0,0,0.0
Albert Tumenov,2016-05-08,1509.1790311925995,1504.3846758851128,1533.1508077300336,0,0,0,0.0
Albert Tumenov,2016-10-08,1516.8386719284176,1504.3846758851128,1547.97366203668,0,0,0,0.0
Alberto Crane,2007-08-25,,,,0,0,0,0.0
Alberto Crane,2008-01-23,1500.0,,1500.0,0,0,0,0.0
Alberto Mina,2014-08-23,,,,0,0,0,0.0
Alberto Mina,2015-11-28,1500.0,1500.0,,0,0,0,0.0
Alberto Mina,2016-07-07,1481.0770517482936,1481.0770517482936,,0,0,0,0.0
Alberto Mina,2018-05-12,1498.1299781017933,1498.1299781017933,,0,0,0,0.0
Alberto Montes,2026-03-07,,,,0,0,0,0.0
Alberto Montes,2026-07-18,1492.0894340179564,1492.0894340179564,,0,0,0,0.0
Alberto Uda,2016-05-29,,,,0,0,0,0.0
Alberto Uda,2016-08-20,1494.6285766387848,,1494.6285766387848,0,0,0,0.0
Alden Coria,2025-09-13,,,,0,0,0,0.0
Alden Coria,2026-02-21,1488.5214648302112,1488.5214648302112,,0,0,0,0.0
Alden Coria,2026-07-18,1484.3979783355117,1484.3979783355117,,0,0,0,0.0
Alejandro Perez,2014-11-15,,,,0,0,0,0.0
Alejandro Perez,2015-06-13,1500.0,1500.0,,0,0,0,0.0
Alejandro Perez,2015-11-21,1500.0,1500.0,1500.0,0,0,0,0.0
Alejandro Perez,2016-04-10,1493.7146648101177,1490.5719972151765,1500.0,0,0,0,0.0
Alejandro Perez,2016-09-17,1490.6859986075883,1487.5813314767845,1500.0,0,0,0,0.0
Alejandro Perez,2017-08-05,1492.5487988860707,1487.5813314767845,1500.0,0,0,0,0.0
Alejandro Perez,2017-12-09,1493.7906657383921,1490.6859986075883,1500.0,0,0,0,0.0
Alejandro Perez,2018-04-14,1502.021057066938,1502.8294798937134,1500.0,0,0,0,0.0
Alejandro Perez,2018-07-14,1503.6372498288451,1504.8496664384602,1500.0,0,0,0,0.0
Alejandro Perez,2019-03-02,1503.9201754138583,1505.0402255321035,1500.0,0,0,0,0.0
Alejandro Perez,2019-07-06,1507.592441713191,1505.0402255321035,1520.3214192035928,0,0,0,0.0
Alejandro Perez,2021-10-02,1510.2091565674434,1505.0402255321035,1525.6730478390516,0,0,0,0.0
Alejandro Perez,2022-02-26,1509.257821908918,1504.2593399237326,1525.6730478390516,0,0,0,0.0
Aleksa Camur,2020-01-18,,,,0,0,0,0.0
Aleksa Camur,2020-09-26,1528.886044245894,1528.886044245894,,0,0,0,0.0
Aleksa Camur,2021-06-19,1514.443022122947,1528.886044245894,1500.0,0,0,0,0.0
Aleksa Camur,2023-08-05,1509.628681415298,1528.886044245894,1500.0,0,0,0,0.0
Aleksandar Rakic,2017-09-02,,,,0,0,0,0.0
Aleksandar Rakic,2018-07-22,1512.7891406983447,1512.7891406983447,,0,0,0,0.0
Aleksandar Rakic,2018-12-08,1522.8451895821934,1522.8451895821934,,0,0,0,0.0
Aleksandar Rakic,2019-06-01,1513.0666486449334,1513.0666486449334,,0,0,0,0.0
Aleksandar Rakic,2019-12-21,1518.2405056827893,1518.2405056827893,,0,0,0,0.0
Aleksandar Rakic,2020-08-29,1517.7637371500991,1518.2405056827893,1515.856663019338,0,0,0,0.0
Aleksandar Rakic,2021-03-06,1522.8659888310879,1524.267853993438,1515.856663019338,0,0,0,0.0
Aleksandar Rakic,2022-05-14,1527.7744611949026,1529.7607608908302,1515.856663019338,0,0,0,0.0
Aleksandar Rakic,2024-04-13,1532.3772777648624,1529.7607608908302,1540.2268283869585,0,0,0,0.0
Aleksandar Rakic,2024-10-26,1534.135784081361,1529.7607608908302,1542.8858304624227,0,0,0,0.0
Aleksandar Rakic,2025-10-25,1538.6243857982095,1529.7607608908302,1551.9198231592782,0,0,0,0.0
Aleksandra Albu,2015-04-11,,,,0,0,0,0.0
Aleksandra Albu,2017-07-29,1500.0,1500.0,,0,0,0,0.0
Aleksandra Albu,2019-02-17,1483.2912732656064,1483.2912732656064,,0,0,0,0.0
Aleksandra Albu,2019-10-26,1482.1941821770708,1483.2912732656064,1480.0,0,0,0,0.0
Aleksandre Topuria,2025-02-08,,,,0,0,0,0.0
Aleksandre Topuria,2025-11-22,1500.0,1500.0,,0,0,0,0.0
Aleksei Kunchenko,2018-09-15,,,,0,0,0,0.0
Aleksei Kunchenko,2018-12-01,1507.2146303944655,1507.2146303944655,,0,0,0,0.0
Aleksei Kunchenko,2019-08-10,1507.2807368026504,1507.2807368026504,,0,0,0,0.0
Aleksei Kunchenko,2020-03-14,1522.4985027972355,1507.2807368026504,1552.9340347864056,0,0,0,0.0
